Eval step    0 | train loss 5.6246 | val loss 5.6247 | BLUE: 0.0000
Eval step 10000 | train loss 1.9208 | val loss 1.9395 | BLUE: 0.0000
Eval step 20000 | train loss 1.4036 | val loss 1.4345 | BLUE: 0.0000
Eval step 30000 | train loss 1.2955 | val loss 1.3285 | BLUE: 0.0000
Eval step 40000 | train loss 1.2574 | val loss 1.2841 | BLUE: 0.0000
Eval step 50000 | train loss 1.2135 | val loss 1.2430 | BLUE: 0.0000
Eval step 60000 | train loss 1.1807 | val loss 1.2043 | BLUE: 0.0000
Eval step 70000 | train loss 1.1601 | val loss 1.1867 | BLUE: 0.0000
Eval step 80000 | train loss 1.1385 | val loss 1.1704 | BLUE: 0.0000
Eval step 90000 | train loss 1.1176 | val loss 1.1445 | BLUE: 0.0000
Eval step 100000 | train loss 1.0991 | val loss 1.1289 | BLUE: 0.0000
Eval step 110000 | train loss 1.0863 | val loss 1.1159 | BLUE: 0.0000
Eval step 120000 | train loss 1.0680 | val loss 1.1048 | BLUE: 0.0000
Eval step 130000 | train loss 1.0467 | val loss 1.0854 | BLUE: 0.0000
Eval step 140000 | train loss 1.0437 | val loss 1.0795 | BLUE: 0.0000
Eval step 150000 | train loss 1.0324 | val loss 1.0633 | BLUE: 0.0000
Eval step 160000 | train loss 1.0172 | val loss 1.0465 | BLUE: 0.0000
Eval step 170000 | train loss 0.9978 | val loss 1.0353 | BLUE: 0.0000
Eval step 180000 | train loss 0.9822 | val loss 1.0238 | BLUE: 0.0000
Eval step 190000 | train loss 0.9701 | val loss 1.0144 | BLUE: 0.0000
Eval step 200000 | train loss 0.9612 | val loss 1.0052 | BLUE: 0.0000
Eval step 210000 | train loss 0.9539 | val loss 0.9923 | BLUE: 0.0000
Eval step 220000 | train loss 0.9406 | val loss 0.9874 | BLUE: 0.0000
Eval step 230000 | train loss 0.9249 | val loss 0.9807 | BLUE: 0.0000
Eval step 240000 | train loss 0.9300 | val loss 0.9715 | BLUE: 0.0000
Eval step 250000 | train loss 0.9126 | val loss 0.9658 | BLUE: 0.0000
Eval step 260000 | train loss 0.8925 | val loss 0.9616 | BLUE: 0.0000
Eval step 270000 | train loss 0.9060 | val loss 0.9584 | BLUE: 0.0000
Eval step 280000 | train loss 0.8892 | val loss 0.9527 | BLUE: 0.0000
Eval step 290000 | train loss 0.8828 | val loss 0.9457 | BLUE: 0.0000
Eval step 300000 | train loss 0.8832 | val loss 0.9453 | BLUE: 0.0000
Eval step 310000 | train loss 0.8660 | val loss 0.9323 | BLUE: 0.0000
Eval step 320000 | train loss 0.8698 | val loss 0.9215 | BLUE: 0.0000
Eval step 330000 | train loss 0.8507 | val loss 0.9216 | BLUE: 0.0000
Eval step 340000 | train loss 0.8374 | val loss 0.9050 | BLUE: 0.0000
Eval step 350000 | train loss 0.8273 | val loss 0.8920 | BLUE: 0.0000
Eval step 360000 | train loss 0.8132 | val loss 0.8752 | BLUE: 0.0000
Eval step 370000 | train loss 0.7999 | val loss 0.8600 | BLUE: 0.0000
Eval step 380000 | train loss 0.7895 | val loss 0.8474 | BLUE: 0.0000
Eval step 390000 | train loss 0.7625 | val loss 0.8374 | BLUE: 0.0000
Eval step 400000 | train loss 0.7637 | val loss 0.8215 | BLUE: 0.0000
Eval step 410000 | train loss 0.7489 | val loss 0.8153 | BLUE: 0.0000
Eval step 420000 | train loss 0.7488 | val loss 0.8046 | BLUE: 0.0000
Eval step 430000 | train loss 0.7380 | val loss 0.7980 | BLUE: 0.0000
Eval step 440000 | train loss 0.7205 | val loss 0.7928 | BLUE: 0.0000
Eval step 450000 | train loss 0.7193 | val loss 0.7858 | BLUE: 0.0000
Eval step 460000 | train loss 0.7077 | val loss 0.7775 | BLUE: 0.0000
Eval step 470000 | train loss 0.7145 | val loss 0.7687 | BLUE: 0.0000
Eval step 480000 | train loss 0.7019 | val loss 0.7673 | BLUE: 0.0000
Eval step 490000 | train loss 0.6852 | val loss 0.7605 | BLUE: 0.0000
Eval step 500000 | train loss 0.6943 | val loss 0.7569 | BLUE: 0.0000
Eval step 510000 | train loss 0.6766 | val loss 0.7513 | BLUE: 0.0000
Eval step 520000 | train loss 0.6672 | val loss 0.7531 | BLUE: 0.0000
Eval step 530000 | train loss 0.6752 | val loss 0.7463 | BLUE: 0.0000
Eval step 540000 | train loss 0.6617 | val loss 0.7428 | BLUE: 0.0000
Eval step 550000 | train loss 0.6730 | val loss 0.7378 | BLUE: 0.0000
Eval step 560000 | train loss 0.6664 | val loss 0.7360 | BLUE: 0.0000
Eval step 570000 | train loss 0.6496 | val loss 0.7347 | BLUE: 0.0000
Eval step 580000 | train loss 0.6593 | val loss 0.7315 | BLUE: 0.0000
Eval step 590000 | train loss 0.6515 | val loss 0.7296 | BLUE: 0.0000
Eval step 600000 | train loss 0.6627 | val loss 0.7292 | BLUE: 0.0000
Eval step 610000 | train loss 0.6486 | val loss 0.7263 | BLUE: 0.0000
Eval step 620000 | train loss 0.6430 | val loss 0.7220 | BLUE: 0.0000
Eval step 630000 | train loss 0.6455 | val loss 0.7182 | BLUE: 0.0000
Eval step 640000 | train loss 0.6415 | val loss 0.7195 | BLUE: 0.0000
Eval step 650000 | train loss 0.6245 | val loss 0.7169 | BLUE: 0.0000
Eval step 660000 | train loss 0.6497 | val loss 0.7173 | BLUE: 0.0000
