Eval step    0 | train loss 6.3405 | val loss 6.3434 | BLUE: 0.0000
Eval step  500 | train loss 2.4515 | val loss 2.4659 | BLUE: 0.0000
Eval step 1000 | train loss 2.1223 | val loss 2.1194 | BLUE: 0.0000
Eval step 1500 | train loss 1.8899 | val loss 1.9397 | BLUE: 0.0000
Eval step 2000 | train loss 1.6842 | val loss 1.7313 | BLUE: 0.0000
Eval step 2500 | train loss 1.5545 | val loss 1.6074 | BLUE: 0.0000
Eval step 3000 | train loss 1.4728 | val loss 1.5206 | BLUE: 0.0000
Eval step 3500 | train loss 1.3997 | val loss 1.4532 | BLUE: 0.0000
Eval step 4000 | train loss 1.3499 | val loss 1.4032 | BLUE: 0.0000
Eval step 4500 | train loss 1.3070 | val loss 1.3528 | BLUE: 0.0000
Eval step 5000 | train loss 1.2809 | val loss 1.3297 | BLUE: 0.0000
Eval step 5500 | train loss 1.2468 | val loss 1.2924 | BLUE: 0.0000
Eval step 6000 | train loss 1.2236 | val loss 1.2658 | BLUE: 0.0000
Eval step 6500 | train loss 1.1924 | val loss 1.2475 | BLUE: 0.0000
Eval step 7000 | train loss 1.1753 | val loss 1.2258 | BLUE: 0.0000
Eval step 7500 | train loss 1.1498 | val loss 1.1881 | BLUE: 0.0000
Eval step 8000 | train loss 1.1139 | val loss 1.1664 | BLUE: 0.0000
Eval step 8500 | train loss 1.0954 | val loss 1.1426 | BLUE: 0.0000
Eval step 9000 | train loss 1.0800 | val loss 1.1244 | BLUE: 0.0000
Eval step 9500 | train loss 1.0595 | val loss 1.1085 | BLUE: 0.0000
Eval step 10000 | train loss 1.0379 | val loss 1.0870 | BLUE: 0.0000
Eval step 10500 | train loss 1.0204 | val loss 1.0676 | BLUE: 0.0000
Eval step 11000 | train loss 1.0017 | val loss 1.0476 | BLUE: 0.0000
Eval step 11500 | train loss 0.9801 | val loss 1.0289 | BLUE: 0.0000
Eval step 12000 | train loss 0.9696 | val loss 1.0117 | BLUE: 0.0000
Eval step 12500 | train loss 0.9511 | val loss 0.9932 | BLUE: 0.0000
Eval step 13000 | train loss 0.9263 | val loss 0.9744 | BLUE: 0.0000
Eval step 13500 | train loss 0.9169 | val loss 0.9626 | BLUE: 0.0000
Eval step 14000 | train loss 0.9125 | val loss 0.9482 | BLUE: 0.0000
Eval step 14500 | train loss 0.9080 | val loss 0.9370 | BLUE: 0.0000
Eval step 15000 | train loss 0.8811 | val loss 0.9274 | BLUE: 0.0000
Eval step 15500 | train loss 0.8804 | val loss 0.9212 | BLUE: 0.0000
Eval step 16000 | train loss 0.8618 | val loss 0.9045 | BLUE: 0.0000
Eval step 16500 | train loss 0.8525 | val loss 0.9013 | BLUE: 0.0000
Eval step 17000 | train loss 0.8582 | val loss 0.8979 | BLUE: 0.0000
Eval step 17500 | train loss 0.8459 | val loss 0.8879 | BLUE: 0.0000
Eval step 18000 | train loss 0.8332 | val loss 0.8822 | BLUE: 0.0000
Eval step 18500 | train loss 0.8301 | val loss 0.8757 | BLUE: 0.0000
Eval step 19000 | train loss 0.8289 | val loss 0.8791 | BLUE: 0.0000
Eval step 19500 | train loss 0.8201 | val loss 0.8696 | BLUE: 0.0000
Eval step 20000 | train loss 0.8243 | val loss 0.8690 | BLUE: 0.0000
Eval step 20500 | train loss 0.8170 | val loss 0.8570 | BLUE: 0.0000
Eval step 21000 | train loss 0.8085 | val loss 0.8530 | BLUE: 0.0000
Eval step 21500 | train loss 0.7999 | val loss 0.8496 | BLUE: 0.0000
Eval step 22000 | train loss 0.7999 | val loss 0.8492 | BLUE: 0.0000
Eval step 22500 | train loss 0.7987 | val loss 0.8435 | BLUE: 0.0000
Eval step 23000 | train loss 0.7816 | val loss 0.8357 | BLUE: 0.0000
Eval step 23500 | train loss 0.7851 | val loss 0.8345 | BLUE: 0.0000
Eval step 24000 | train loss 0.7948 | val loss 0.8355 | BLUE: 0.0000
Eval step 24500 | train loss 0.7729 | val loss 0.8323 | BLUE: 0.0000
Eval step 25000 | train loss 0.7748 | val loss 0.8293 | BLUE: 0.0000
Eval step 25500 | train loss 0.7716 | val loss 0.8264 | BLUE: 0.0000
Eval step 26000 | train loss 0.7689 | val loss 0.8166 | BLUE: 0.0000
Eval step 26500 | train loss 0.7585 | val loss 0.8109 | BLUE: 0.0000
Eval step 27000 | train loss 0.7680 | val loss 0.8179 | BLUE: 0.0000
Eval step 27500 | train loss 0.7735 | val loss 0.8157 | BLUE: 0.0000
Eval step 28000 | train loss 0.7612 | val loss 0.8119 | BLUE: 0.0000
Eval step 28500 | train loss 0.7601 | val loss 0.8136 | BLUE: 0.0000
Eval step 29000 | train loss 0.7556 | val loss 0.8028 | BLUE: 0.0000
Eval step 29500 | train loss 0.7420 | val loss 0.7964 | BLUE: 0.0000
Eval step 30000 | train loss 0.7515 | val loss 0.8019 | BLUE: 0.0000
Eval step 30500 | train loss 0.7483 | val loss 0.7941 | BLUE: 0.0000
Eval step 31000 | train loss 0.7410 | val loss 0.7944 | BLUE: 0.0000
Eval step 31500 | train loss 0.7450 | val loss 0.7995 | BLUE: 0.0000
Eval step 32000 | train loss 0.7430 | val loss 0.7942 | BLUE: 0.0000
Eval step 32500 | train loss 0.7448 | val loss 0.7870 | BLUE: 0.0000
Eval step 33000 | train loss 0.7325 | val loss 0.7944 | BLUE: 0.0000
Eval step 33500 | train loss 0.7384 | val loss 0.7890 | BLUE: 0.0000
Eval step 34000 | train loss 0.7437 | val loss 0.7881 | BLUE: 0.0000
Eval step 34500 | train loss 0.7262 | val loss 0.7837 | BLUE: 0.0000
Eval step 35000 | train loss 0.7360 | val loss 0.7831 | BLUE: 0.0000
Eval step 35500 | train loss 0.7332 | val loss 0.7796 | BLUE: 0.0000
Eval step 36000 | train loss 0.7161 | val loss 0.7783 | BLUE: 0.0000
Eval step 36500 | train loss 0.7191 | val loss 0.7786 | BLUE: 0.0000
Eval step 37000 | train loss 0.7276 | val loss 0.7715 | BLUE: 0.0000
Eval step 37500 | train loss 0.7312 | val loss 0.7791 | BLUE: 0.0000
Eval step 38000 | train loss 0.7306 | val loss 0.7861 | BLUE: 0.0000
Eval step 38500 | train loss 0.7207 | val loss 0.7764 | BLUE: 0.0000
Eval step 39000 | train loss 0.7210 | val loss 0.7643 | BLUE: 0.0000
Eval step 39500 | train loss 0.7217 | val loss 0.7772 | BLUE: 0.0000
Eval step 40000 | train loss 0.7110 | val loss 0.7637 | BLUE: 0.0000
Eval step 40500 | train loss 0.7185 | val loss 0.7712 | BLUE: 0.0000
Eval step 41000 | train loss 0.7018 | val loss 0.7728 | BLUE: 0.0000
Eval step 41500 | train loss 0.7047 | val loss 0.7582 | BLUE: 0.0000
Eval step 42000 | train loss 0.7072 | val loss 0.7671 | BLUE: 0.0000
Eval step 42500 | train loss 0.7087 | val loss 0.7652 | BLUE: 0.0000
Eval step 43000 | train loss 0.7068 | val loss 0.7670 | BLUE: 0.0000
Eval step 43500 | train loss 0.7074 | val loss 0.7625 | BLUE: 0.0000
Eval step 44000 | train loss 0.7024 | val loss 0.7593 | BLUE: 0.0000
Eval step 44500 | train loss 0.6945 | val loss 0.7554 | BLUE: 0.0000
Eval step 45000 | train loss 0.6986 | val loss 0.7573 | BLUE: 0.0000
Eval step 45500 | train loss 0.7052 | val loss 0.7612 | BLUE: 0.0000
Eval step 46000 | train loss 0.6800 | val loss 0.7499 | BLUE: 0.0000
Eval step 46500 | train loss 0.6993 | val loss 0.7611 | BLUE: 0.0000
Eval step 47000 | train loss 0.6979 | val loss 0.7503 | BLUE: 0.0000
Eval step 47500 | train loss 0.6833 | val loss 0.7502 | BLUE: 0.0000
Eval step 48000 | train loss 0.6907 | val loss 0.7525 | BLUE: 0.0000
Eval step 48500 | train loss 0.6894 | val loss 0.7466 | BLUE: 0.0000
Eval step 49000 | train loss 0.6957 | val loss 0.7476 | BLUE: 0.0000
Eval step 49500 | train loss 0.6833 | val loss 0.7459 | BLUE: 0.0000
Eval step 50000 | train loss 0.6891 | val loss 0.7476 | BLUE: 0.0000
Eval step 50500 | train loss 0.6940 | val loss 0.7508 | BLUE: 0.0000
Eval step 51000 | train loss 0.6827 | val loss 0.7513 | BLUE: 0.0000
Eval step 51500 | train loss 0.6814 | val loss 0.7472 | BLUE: 0.0000
Eval step 52000 | train loss 0.6752 | val loss 0.7382 | BLUE: 0.0000
Eval step 52500 | train loss 0.6778 | val loss 0.7448 | BLUE: 0.0000
Eval step 53000 | train loss 0.6811 | val loss 0.7491 | BLUE: 0.0000
Eval step 53500 | train loss 0.6890 | val loss 0.7476 | BLUE: 0.0000
Eval step 54000 | train loss 0.6822 | val loss 0.7420 | BLUE: 0.0000
Eval step 54500 | train loss 0.6743 | val loss 0.7455 | BLUE: 0.0000
Eval step 55000 | train loss 0.6729 | val loss 0.7406 | BLUE: 0.0000
Eval step 55500 | train loss 0.6890 | val loss 0.7395 | BLUE: 0.0000
Eval step 56000 | train loss 0.6852 | val loss 0.7395 | BLUE: 0.0000
Eval step 56500 | train loss 0.6746 | val loss 0.7410 | BLUE: 0.0000
Eval step 57000 | train loss 0.6853 | val loss 0.7404 | BLUE: 0.0000
Eval step 57500 | train loss 0.6712 | val loss 0.7373 | BLUE: 0.0000
Eval step 58000 | train loss 0.6812 | val loss 0.7369 | BLUE: 0.0000
Eval step 58500 | train loss 0.6649 | val loss 0.7307 | BLUE: 0.0000
Eval step 59000 | train loss 0.6688 | val loss 0.7389 | BLUE: 0.0000
Eval step 59500 | train loss 0.6625 | val loss 0.7291 | BLUE: 0.0000
Eval step 60000 | train loss 0.6638 | val loss 0.7379 | BLUE: 0.0000
Eval step 60500 | train loss 0.6734 | val loss 0.7313 | BLUE: 0.0000
Eval step 61000 | train loss 0.6652 | val loss 0.7345 | BLUE: 0.0000
Eval step 61500 | train loss 0.6692 | val loss 0.7346 | BLUE: 0.0000
Eval step 62000 | train loss 0.6692 | val loss 0.7301 | BLUE: 0.0000
Eval step 62500 | train loss 0.6619 | val loss 0.7349 | BLUE: 0.0000
Eval step 63000 | train loss 0.6595 | val loss 0.7285 | BLUE: 0.0000
Eval step 63500 | train loss 0.6667 | val loss 0.7304 | BLUE: 0.0000
Eval step 64000 | train loss 0.6539 | val loss 0.7291 | BLUE: 0.0000
Eval step 64500 | train loss 0.6614 | val loss 0.7268 | BLUE: 0.0000
Eval step 65000 | train loss 0.6622 | val loss 0.7248 | BLUE: 0.0000
Eval step 65500 | train loss 0.6627 | val loss 0.7242 | BLUE: 0.0000
Eval step 66000 | train loss 0.6613 | val loss 0.7313 | BLUE: 0.0000
Eval step 66500 | train loss 0.6566 | val loss 0.7302 | BLUE: 0.0000
Eval step 67000 | train loss 0.6664 | val loss 0.7261 | BLUE: 0.0000
Eval step 67500 | train loss 0.6533 | val loss 0.7262 | BLUE: 0.0000
Eval step 68000 | train loss 0.6516 | val loss 0.7207 | BLUE: 0.0000
