Step    0 | norm: 9.9615 | lr: 0.000000 | loss: 6.4329 | Data dt: 10426.26 | Forward dt: 171.94 | Backward dt: 227.03
Step    5 | norm: 10.0339 | lr: 0.000000 | loss: 6.4212 | Data dt:  8.14 | Forward dt: 76.54 | Backward dt: 154.11
Step   10 | norm: 10.0289 | lr: 0.000001 | loss: 6.3983 | Data dt:  8.28 | Forward dt: 75.42 | Backward dt: 152.80
Step   15 | norm: 10.0164 | lr: 0.000001 | loss: 6.3490 | Data dt:  8.31 | Forward dt: 75.39 | Backward dt: 153.03
Step   20 | norm: 9.8662 | lr: 0.000001 | loss: 6.2281 | Data dt:  8.28 | Forward dt: 75.54 | Backward dt: 153.37
Step   25 | norm: 9.8117 | lr: 0.000001 | loss: 6.1229 | Data dt:  8.30 | Forward dt: 75.46 | Backward dt: 153.77
Step   30 | norm: 9.5264 | lr: 0.000001 | loss: 6.0192 | Data dt:  8.45 | Forward dt: 75.56 | Backward dt: 153.21
Step   35 | norm: 9.4438 | lr: 0.000002 | loss: 5.8589 | Data dt:  8.41 | Forward dt: 75.72 | Backward dt: 153.08
Step   40 | norm: 9.0638 | lr: 0.000002 | loss: 5.6879 | Data dt:  8.24 | Forward dt: 74.97 | Backward dt: 151.58
Step   45 | norm: 8.6845 | lr: 0.000002 | loss: 5.5275 | Data dt:  8.17 | Forward dt: 75.44 | Backward dt: 154.16
Step   50 | norm: 8.2286 | lr: 0.000002 | loss: 5.3378 | Data dt:  8.24 | Forward dt: 75.60 | Backward dt: 154.51
Step   55 | norm: 7.6735 | lr: 0.000003 | loss: 5.1320 | Data dt:  7.99 | Forward dt: 75.30 | Backward dt: 153.07
Step   60 | norm: 7.0777 | lr: 0.000003 | loss: 4.9334 | Data dt:  8.50 | Forward dt: 75.38 | Backward dt: 153.56
Step   65 | norm: 6.4511 | lr: 0.000003 | loss: 4.7079 | Data dt:  8.18 | Forward dt: 75.74 | Backward dt: 154.29
Step   70 | norm: 5.7375 | lr: 0.000003 | loss: 4.5292 | Data dt:  8.63 | Forward dt: 75.61 | Backward dt: 154.02
