Eval step    0 | train loss 5.6413 | val loss 5.6406 | BLUE: 0.0000
Eval step 1000 | train loss 2.2095 | val loss 2.2210 | BLUE: 0.0000
Eval step 2000 | train loss 1.9796 | val loss 1.9872 | BLUE: 0.0000
Eval step 3000 | train loss 1.7871 | val loss 1.7998 | BLUE: 0.0000
Eval step 4000 | train loss 1.6414 | val loss 1.6507 | BLUE: 0.0000
Eval step 5000 | train loss 1.5483 | val loss 1.5576 | BLUE: 0.0000
Eval step 6000 | train loss 1.4694 | val loss 1.4702 | BLUE: 0.0000
Eval step 7000 | train loss 1.4168 | val loss 1.4279 | BLUE: 0.0000
Eval step 8000 | train loss 1.3811 | val loss 1.3838 | BLUE: 0.0000
Eval step 9000 | train loss 1.3448 | val loss 1.3642 | BLUE: 0.0000
Eval step 10000 | train loss 1.3202 | val loss 1.3386 | BLUE: 0.0000
Eval step 11000 | train loss 1.3186 | val loss 1.3190 | BLUE: 0.0000
Eval step 12000 | train loss 1.3006 | val loss 1.3084 | BLUE: 0.0000
Eval step 13000 | train loss 1.2679 | val loss 1.2898 | BLUE: 0.0000
Eval step 14000 | train loss 1.2668 | val loss 1.2815 | BLUE: 0.0000
Eval step 15000 | train loss 1.2532 | val loss 1.2715 | BLUE: 0.0000
Eval step 16000 | train loss 1.2341 | val loss 1.2573 | BLUE: 0.0000
Eval step 17000 | train loss 1.2269 | val loss 1.2494 | BLUE: 0.0000
Eval step 18000 | train loss 1.2229 | val loss 1.2412 | BLUE: 0.0000
Eval step 19000 | train loss 1.2044 | val loss 1.2296 | BLUE: 0.0000
Eval step 20000 | train loss 1.1970 | val loss 1.2219 | BLUE: 0.0000
Eval step 21000 | train loss 1.1847 | val loss 1.2149 | BLUE: 0.0000
Eval step 22000 | train loss 1.1845 | val loss 1.2073 | BLUE: 0.0000
Eval step 23000 | train loss 1.1705 | val loss 1.2024 | BLUE: 0.0000
Eval step 24000 | train loss 1.1651 | val loss 1.1989 | BLUE: 0.0000
Eval step 25000 | train loss 1.1630 | val loss 1.1917 | BLUE: 0.0000
Eval step 26000 | train loss 1.1647 | val loss 1.1911 | BLUE: 0.0000
Eval step 27000 | train loss 1.1414 | val loss 1.1858 | BLUE: 0.0000
Eval step 28000 | train loss 1.1542 | val loss 1.1834 | BLUE: 0.0000
Eval step 29000 | train loss 1.1464 | val loss 1.1812 | BLUE: 0.0000
Eval step 30000 | train loss 1.1437 | val loss 1.1824 | BLUE: 0.0000
Eval step 31000 | train loss 1.1411 | val loss 1.1806 | BLUE: 0.0000
Eval step 31239 | train loss 1.1348 | val loss 1.1774 | BLUE: 0.0000
Eval step 32000 | train loss 1.1891 | val loss 1.2263 | BLUE: 0.0000
Eval step 33000 | train loss 1.2040 | val loss 1.2285 | BLUE: 0.0000
Eval step 34000 | train loss 1.2021 | val loss 1.2196 | BLUE: 0.0000
Eval step 35000 | train loss 1.1784 | val loss 1.2092 | BLUE: 0.0000
Eval step 36000 | train loss 1.1728 | val loss 1.2063 | BLUE: 0.0000
Eval step 37000 | train loss 1.1713 | val loss 1.2034 | BLUE: 0.0000
Eval step 38000 | train loss 1.1703 | val loss 1.2002 | BLUE: 0.0000
Eval step 39000 | train loss 1.1608 | val loss 1.1905 | BLUE: 0.0000
Eval step 40000 | train loss 1.1611 | val loss 1.1915 | BLUE: 0.0000
Eval step 41000 | train loss 1.1535 | val loss 1.1838 | BLUE: 0.0000
Eval step 42000 | train loss 1.1568 | val loss 1.1870 | BLUE: 0.0000
Eval step 43000 | train loss 1.1379 | val loss 1.1715 | BLUE: 0.0000
Eval step 44000 | train loss 1.1428 | val loss 1.1726 | BLUE: 0.0000
Eval step 45000 | train loss 1.1337 | val loss 1.1680 | BLUE: 0.0000
Eval step 46000 | train loss 1.1174 | val loss 1.1631 | BLUE: 0.0000
Eval step 47000 | train loss 1.1116 | val loss 1.1661 | BLUE: 0.0000
Eval step 48000 | train loss 1.1133 | val loss 1.1565 | BLUE: 0.0000
Eval step 49000 | train loss 1.1179 | val loss 1.1602 | BLUE: 0.0000
Eval step 50000 | train loss 1.1011 | val loss 1.1548 | BLUE: 0.0000
Eval step 51000 | train loss 1.1052 | val loss 1.1493 | BLUE: 0.0000
Eval step 52000 | train loss 1.1012 | val loss 1.1462 | BLUE: 0.0000
Eval step 53000 | train loss 1.0916 | val loss 1.1425 | BLUE: 0.0000
Eval step 54000 | train loss 1.0901 | val loss 1.1443 | BLUE: 0.0000
Eval step 55000 | train loss 1.0901 | val loss 1.1370 | BLUE: 0.0000
Eval step 56000 | train loss 1.0784 | val loss 1.1380 | BLUE: 0.0000
Eval step 57000 | train loss 1.0770 | val loss 1.1371 | BLUE: 0.0000
Eval step 58000 | train loss 1.0854 | val loss 1.1331 | BLUE: 0.0000
Eval step 59000 | train loss 1.0700 | val loss 1.1336 | BLUE: 0.0000
Eval step 60000 | train loss 1.0665 | val loss 1.1286 | BLUE: 0.0000
